pathway	Description	p.Val	FDR	Phenotype
GO_NEURON_DIFFERENTIATION	GO_NEURON_DIFFERENTIATION	5.37285873449316e-11	4.04361348357955e-07	1
GO_NEURON_DEVELOPMENT	GO_NEURON_DEVELOPMENT	1.10400680320328e-09	4.15437760045395e-06	1
GO_NEUROGENESIS	GO_NEUROGENESIS	1.94825517756175e-09	4.88752282210992e-06	1
GO_CELL_CYCLE	GO_CELL_CYCLE	1.51531533131454e-08	2.7494883322803e-05	1
GO_REGULATION_OF_ORGANELLE_ORGANIZATION	GO_REGULATION_OF_ORGANELLE_ORGANIZATION	2.28920866719554e-08	2.7494883322803e-05	1
GO_MITOTIC_CELL_CYCLE	GO_MITOTIC_CELL_CYCLE	2.3307934425512e-08	2.7494883322803e-05	1
GO_CELL_PART_MORPHOGENESIS	GO_CELL_PART_MORPHOGENESIS	2.55732372122802e-08	2.7494883322803e-05	1
GO_CELL_PROJECTION_ORGANIZATION	GO_CELL_PROJECTION_ORGANIZATION	7.09135286949057e-08	6.67119021197325e-05	1
GO_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	GO_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	1.40040463393347e-07	0.000117104947499814	1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	1.84557199364697e-07	0.000138897748241871	1
GO_CELL_CYCLE_PROCESS	GO_CELL_CYCLE_PROCESS	1.19578928245145e-06	0.000766028884862665	1
GO_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	GO_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	1.22141198755673e-06	0.000766028884862665	1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	1.82556816804664e-06	0.00105686354097838	1
GO_REGULATION_OF_NEURON_DIFFERENTIATION	GO_REGULATION_OF_NEURON_DIFFERENTIATION	3.06308285504076e-06	0.00160535431183542	1
GO_DNA_REPLICATION	GO_DNA_REPLICATION	3.49417138592951e-06	0.00160535431183542	1
GO_POSITIVE_REGULATION_OF_NEURON_DIFFERENTIATION	GO_POSITIVE_REGULATION_OF_NEURON_DIFFERENTIATION	3.71991012763192e-06	0.00160535431183542	1
GO_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	GO_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	4.07920470350843e-06	0.00160535431183542	1
GO_CELLULAR_COMPONENT_MORPHOGENESIS	GO_CELLULAR_COMPONENT_MORPHOGENESIS	4.38878053330245e-06	0.00160535431183542	1
GO_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT	GO_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT	4.39190478473891e-06	0.00160535431183542	1
GO_CHROMOSOME_ORGANIZATION	GO_CHROMOSOME_ORGANIZATION	4.43060409749315e-06	0.00160535431183542	1
GO_REGULATION_OF_CELL_DEVELOPMENT	GO_REGULATION_OF_CELL_DEVELOPMENT	4.4794632671464e-06	0.00160535431183542	1
GO_REGULATION_OF_CHROMOSOME_ORGANIZATION	GO_REGULATION_OF_CHROMOSOME_ORGANIZATION	8.70521148205324e-06	0.00297797370972421	1
GO_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	GO_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	9.97942369138237e-06	0.00326544098701495	1
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	1.12437982843025e-05	0.00333521954800403	1
GO_DNA_METABOLIC_PROCESS	GO_DNA_METABOLIC_PROCESS	1.12437982843025e-05	0.00333521954800403	1
GO_NEGATIVE_REGULATION_OF_RNA_BIOSYNTHETIC_PROCESS	GO_NEGATIVE_REGULATION_OF_RNA_BIOSYNTHETIC_PROCESS	1.15221509763626e-05	0.00333521954800403	1
GO_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	GO_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	1.53395918079112e-05	0.00427576918319778	1
GO_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GO_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.7873393641252e-05	0.00480411287657367	1
GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	1.86353023365351e-05	0.00483618225464699	1
GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	2.00050544713394e-05	0.00501860133171001	1
GO_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	GO_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	2.45324971439471e-05	0.00595585720984987	1
GO_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	GO_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	2.70888059556634e-05	0.00614915375670332	1
GO_FOREBRAIN_DEVELOPMENT	GO_FOREBRAIN_DEVELOPMENT	2.78339199891986e-05	0.00614915375670332	1
GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	2.85399964571166e-05	0.00614915375670332	1
GO_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	GO_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	2.85969148929865e-05	0.00614915375670332	1
GO_CELLULAR_MACROMOLECULE_LOCALIZATION	GO_CELLULAR_MACROMOLECULE_LOCALIZATION	3.45021883468238e-05	0.00721287415272767	1
GO_HEAD_DEVELOPMENT	GO_HEAD_DEVELOPMENT	3.85262865798047e-05	0.00783645494053001	1
GO_AXON_DEVELOPMENT	GO_AXON_DEVELOPMENT	4.22572292810476e-05	0.00836915546234642	1
GO_CHROMATIN_ORGANIZATION	GO_CHROMATIN_ORGANIZATION	4.81927010959197e-05	0.00901390922023098	1
GO_ESTABLISHMENT_OF_RNA_LOCALIZATION	GO_ESTABLISHMENT_OF_RNA_LOCALIZATION	4.87637294503954e-05	0.00901390922023098	1
